"","genes","mutations","residual_error"
"1",10,1,2879.90300741638
"2",10,2,2810.72287836218
"3",10,3,2797.19672992753
"4",10,4,2860.54199344678
"5",10,5,2961.32142894541
"6",10,6,2959.62797736592
"7",10,7,2861.36607222708
"8",10,8,2647.47428934615
"9",10,9,2849.19460968665
"10",10,10,2960.1163211375
"11",20,1,2940.43870978067
"12",20,2,2752.89438295175
"13",20,3,2822.98721955709
"14",20,4,2834.96685184073
"15",20,5,2996.80997121027
"16",20,6,2843.70168157809
"17",20,7,2749.09460354825
"18",20,8,2962.61940179395
"19",20,9,2928.48778012749
"20",20,10,2931.65061656082
"21",30,1,2929.22995203306
"22",30,2,2911.22247078036
"23",30,3,2857.14936369008
"24",30,4,2842.91223613252
"25",30,5,2853.22482780691
"26",30,6,2938.39047567397
"27",30,7,3076.18017707898
"28",30,8,2887.21086473196
"29",30,9,2825.62915276512
"30",30,10,3023.16900421696
"31",40,1,2764.82271365083
"32",40,2,2860.48072147477
"33",40,3,2976.87656216108
"34",40,4,3083.68280163292
"35",40,5,3039.84730941669
"36",40,6,2961.46582793073
"37",40,7,2851.24953124473
"38",40,8,2980.19923436501
"39",40,9,3067.02808329639
"40",40,10,2719.09161535178
"41",50,1,2682.61965279678
"42",50,2,2788.20003851934
"43",50,3,3022.52994296768
"44",50,4,3004.7826289244
"45",50,5,3236.64334393258
"46",50,6,2848.41344300169
"47",50,7,3182.82790116391
"48",50,8,3396.42301620727
"49",50,9,2745.50525296329
"50",50,10,2826.12803461721
"51",60,1,3146.21347936525
"52",60,2,2791.15713815433
"53",60,3,2798.1444849665
"54",60,4,2874.01444842277
"55",60,5,2884.29664498891
"56",60,6,2858.50797276211
"57",60,7,3203.0219437835
"58",60,8,3394.17265031932
"59",60,9,2806.72914091638
"60",60,10,2958.71642371974
