"","genes","mutations","residual_error"
"1",10,1,2585.17385237343
"2",10,2,2573.41350109906
"3",10,3,2621.69592082194
"4",10,4,2568.48921078582
"5",10,5,2536.49030714343
"6",10,6,2563.31347436192
"7",10,7,2556.66317558835
"8",10,8,2551.843488101
"9",10,9,2604.08378276566
"10",10,10,2559.47696181909
"11",20,1,2629.74744283012
"12",20,2,2619.92186881904
"13",20,3,2630.6025192844
"14",20,4,2545.08443856405
"15",20,5,2592.15788671855
"16",20,6,2605.69378920155
"17",20,7,2599.64083490873
"18",20,8,2601.7317549877
"19",20,9,2591.11514988927
"20",20,10,2608.11000228607
"21",30,1,2587.91261086783
"22",30,2,2553.43683542787
"23",30,3,2532.12238028581
"24",30,4,2608.38413290312
"25",30,5,2604.16382061422
"26",30,6,2615.35115732776
"27",30,7,2585.26937933118
"28",30,8,2550.25237133021
"29",30,9,2590.8532424627
"30",30,10,2547.56033882627
"31",40,1,2578.54749471818
"32",40,2,2562.47075959383
"33",40,3,2603.59318358137
"34",40,4,2593.9217084024
"35",40,5,2567.75125659978
"36",40,6,2571.76374316573
"37",40,7,2546.47450702516
"38",40,8,2542.39606630122
"39",40,9,2555.8109377783
"40",40,10,2592.79731652225
"41",50,1,2628.09401852305
"42",50,2,2591.09542854253
"43",50,3,2596.42382595439
"44",50,4,2578.67276835144
"45",50,5,2551.85522870818
"46",50,6,2563.68356741571
"47",50,7,2597.00785162741
"48",50,8,2586.9263059671
"49",50,9,2599.64842335418
"50",50,10,2555.57859750793
"51",60,1,2565.37081334381
"52",60,2,2589.26596737398
"53",60,3,2589.82269223023
"54",60,4,2612.2889376292
"55",60,5,2602.56015917078
"56",60,6,2554.28683557231
"57",60,7,2546.68806074275
"58",60,8,2584.65258457052
"59",60,9,2578.02087864978
"60",60,10,2568.58383853898
