"","genes","mutations","residual_error"
"1",10,1,2710.85296867976
"2",10,2,2754.34425716728
"3",10,3,2821.42800206572
"4",10,4,2900.69739609427
"5",10,5,2775.73612468293
"6",10,6,2975.93420403669
"7",10,7,2946.13428003406
"8",10,8,2950.50627222544
"9",10,9,3037.00034581492
"10",10,10,2853.80820737892
"11",20,1,2723.25928186355
"12",20,2,2800.99765658518
"13",20,3,2629.99737500057
"14",20,4,2831.93956263728
"15",20,5,2829.77180782967
"16",20,6,2796.88825030331
"17",20,7,2937.64527721719
"18",20,8,2834.59568349987
"19",20,9,2790.13416774379
"20",20,10,2934.92348426821
"21",30,1,2929.61892270682
"22",30,2,2784.82922941146
"23",30,3,2828.20965497124
"24",30,4,2663.83137956843
"25",30,5,2960.80293018022
"26",30,6,2893.43412955034
"27",30,7,2829.93124095401
"28",30,8,2830.01832202267
"29",30,9,2919.60137943119
"30",30,10,2733.7542679188
"31",40,1,2846.98992236393
"32",40,2,2815.88632456049
"33",40,3,2716.14176838999
"34",40,4,2759.00055037953
"35",40,5,2750.71787646344
"36",40,6,2738.07335625372
"37",40,7,2721.09533690159
"38",40,8,2629.43038171558
"39",40,9,2816.07533123567
"40",40,10,2737.84672636655
"41",50,1,2694.07751998866
"42",50,2,2725.20871472778
"43",50,3,2760.97038834979
"44",50,4,2802.86395004833
"45",50,5,2893.23931984388
"46",50,6,2889.87680379721
"47",50,7,2730.90921015871
"48",50,8,2761.8479328217
"49",50,9,2999.47101267559
"50",50,10,2745.30035860973
"51",60,1,2713.67822654288
"52",60,2,2934.78244165151
"53",60,3,2667.55954661105
"54",60,4,2843.07683675606
"55",60,5,2826.78234835254
"56",60,6,2787.43393165049
"57",60,7,2930.34231955379
"58",60,8,2949.79534039436
"59",60,9,2827.36065813893
"60",60,10,2652.65822235941
